lemma,part_of_speech,antonyms
deciphered,adjective,undeciphered
decisive,adjective,indecisive|indecisive
declarative,adjective,interrogative|interrogatory
declaratory,adjective,interrogative|interrogatory
declared,adjective,undeclared
decorated,adjective,unadorned
decorous,adjective,indecorous
decreased,adjective,increased
decreasing,adjective,increasing|increasing
dedicated,adjective,undedicated|desecrated
deductible,adjective,nondeductible
deductive,adjective,inductive
deep,adjective,shallow|shallow
defeasible,adjective,indefeasible
defeated,adjective,undefeated
defensive,adjective,offensive
defiant,adjective,compliant
deficient,adjective,sufficient
defined,adjective,undefined
definite,adjective,indefinite
deflationary,adjective,inflationary
dehiscent,adjective,indehiscent
dejected,adjective,elated
delicate,adjective,rugged
delineate,adjective,undelineated
delineated,adjective,undelineated
demanding,adjective,undemanding
democratic,adjective,undemocratic
demonstrative,adjective,undemonstrative
deniable,adjective,undeniable
denotative,adjective,connotative
denotive,adjective,connotative
dependable,adjective,unreliable|undependable
dependent,adjective,independent|independent
depressant,adjective,stimulative
depressing,adjective,cheerful
derivational,adjective,inflectional
derived,adjective,underived
descending,adjective,ascending
descriptive,adjective,undescriptive|prescriptive
desecrated,adjective,consecrated
desensitising,adjective,sensitizing
desensitizing,adjective,sensitizing
deserved,adjective,unmerited
designed,adjective,undesigned
desirable,adjective,undesirable
desirous,adjective,undesirous
destroyed,adjective,preserved
destructible,adjective,indestructible
destructive,adjective,constructive
detachable,adjective,attachable
detached,adjective,attached
detected,adjective,undetected
determinable,adjective,indeterminable
determinate,adjective,indeterminate|indeterminate
determined,adjective,undetermined
developed,adjective,undeveloped
dextral,adjective,sinistral
diabatic,adjective,adiabatic
diachronic,adjective,synchronic
diadromous,adjective,anadromous
diatonic,adjective,chromatic
diclinous,adjective,monoclinous
dicotyledonous,adjective,monocotyledonous
different,adjective,same|like
differentiated,adjective,undifferentiated
difficult,adjective,easy|manageable
diffident,adjective,confident
diffuse,adjective,hard
diffused,adjective,hard
digestible,adjective,indigestible
digital,adjective,analogue
digitigrade,adjective,plantigrade
dignified,adjective,undignified
diligent,adjective,negligent
dilute,adjective,undiluted
diluted,adjective,undiluted
dim,adjective,undimmed
diminished,adjective,hypertrophied
dimmed,adjective,undimmed
dioecian,adjective,monoecious
dioecious,adjective,monoecious
diploid,adjective,polyploid
diplomatic,adjective,undiplomatic
diplomatical,adjective,undiplomatic
direct,adjective,indirect|indirect|collateral|retrograde|inverse|alternating
directional,adjective,omnidirectional
dirty,adjective,clean|clean|clean
disabling,adjective,enabling
disadvantageous,adjective,advantageous
disagreeable,adjective,agreeable
disarranged,adjective,arranged
discalceate,adjective,calced
discalced,adjective,calced
discernable,adjective,indiscernible
discernible,adjective,indiscernible
discerning,adjective,undiscerning
discomposed,adjective,composed
disconfirming,adjective,positive
disconnected,adjective,legato
disconsolate,adjective,consolable
discontent,adjective,contented
discontented,adjective,contented
discontinued,adjective,continued
discontinuous,adjective,continuous|continuous
discordant,adjective,accordant
discouraging,adjective,encouraging
discourteous,adjective,courteous
discreet,adjective,indiscreet
discriminate,adjective,indiscriminate
discriminating,adjective,undiscriminating
discriminatory,adjective,unprejudiced
disenchanted,adjective,enchanted
disenfranchised,adjective,enfranchised
disfranchised,adjective,enfranchised
dishonest,adjective,honest
dishonorable,adjective,honorable|honest
dishonourable,adjective,honorable
disinclined,adjective,inclined
disingenuous,adjective,ingenuous
disintegrative,adjective,integrative
disjunct,adjective,conjunct
disjunctive,adjective,conjunctive
disliked,adjective,liked
disloyal,adjective,patriotic|loyal
disobedient,adjective,obedient
disordered,adjective,ordered
disorderly,adjective,orderly
disorganised,adjective,organized
disorganized,adjective,organized
disorienting,adjective,orienting
dispensable,adjective,indispensable
displeased,adjective,pleased
displeasing,adjective,pleasing
disposable,adjective,nondisposable|nondisposable
disproportional,adjective,proportionate
disproportionate,adjective,proportionate
disqualifying,adjective,enabling
disreputable,adjective,reputable
disrespectful,adjective,respectful
dissimilar,adjective,similar|alike|like
dissuasive,adjective,persuasive
distal,adjective,proximal|mesial
distant,adjective,close|close
distinct,adjective,indistinct
distinguishable,adjective,indistinguishable
distressed,adjective,euphoric
distributed,adjective,concentrated
distributive,adjective,collective
distrustful,adjective,trustful
diurnal,adjective,nocturnal
divergent,adjective,convergent
diverging,adjective,convergent
diversified,adjective,undiversified
divided,adjective,united
divisible,adjective,indivisible
docile,adjective,stubborn
documented,adjective,undocumented
dolichocephalic,adjective,brachycephalic
dolichocranial,adjective,brachycephalic
dolichocranic,adjective,brachycephalic
domestic,adjective,foreign|undomestic
dominant,adjective,subordinate|recessive
domineering,adjective,submissive
dormant,adjective,active
dorsal,adjective,ventral|adaxial
double,adjective,single|multivalent
double-barreled,adjective,single-barreled
double-barrelled,adjective,single-barreled
double-breasted,adjective,single-breasted
down,adjective,up
downmarket,adjective,upmarket
downstage,adjective,upstage
downstair,adjective,upstairs
downstairs,adjective,upstairs
downstream,adjective,upstream
downtown,adjective,uptown
drained,adjective,undrained
dramatic,adjective,undramatic|lyric
drinkable,adjective,undrinkable
drunk,adjective,sober
dry,adjective,wet|wet|wet|wet|sweet|phlegmy
dry-eyed,adjective,tearful
due,adjective,undue|undue
dull,adjective,lively|bright|sharp|sharp
dying,adjective,nascent
dynamic,adjective,undynamic|stative
dynamical,adjective,undynamic
dysgenic,adjective,eugenic
dysphemistic,adjective,euphemistic
dysphoric,adjective,euphoric
dyspneal,adjective,breathing
dyspneic,adjective,breathing
dyspnoeal,adjective,breathing
dyspnoeic,adjective,breathing
dystopian,adjective,utopian
eager,adjective,uneager
eared,adjective,earless
earless,adjective,eared
earlier,adjective,middle|late|middle
earliest,adjective,middle|late|middle
early,adjective,middle|late|middle
earned,adjective,unearned
earthly,adjective,heavenly
east,adjective,west
